id,text,date,hashtags,rt_count,media,ext_media,place,lang,fav_count,source,Creator
1.51939E+18,@ThirdGhear Or trying to clean the contacts with a rubber eraser.,2022-04-27 18:41:35+00:00,,0,,,,en,1,Khoros CX,BB
1.51939E+18,@Shock1z We can feel that pain even now.,2022-04-27 18:39:55+00:00,,0,,,,en,0,Khoros CX,BB
1.51939E+18,@therowdywriter Support for password saves arrived in 1987 and was available in select games.,2022-04-27 18:38:59+00:00,,0,,,,en,2,Khoros CX,BB
1.51938E+18,@ADreamAmerican Oof. Or would that be 00f?,2022-04-27 18:31:46+00:00,,0,,,,en,1,Khoros CX,BB
1.51938E+18,@GS3 Touché.,2022-04-27 18:15:03+00:00,,0,,,,fr,1,Khoros CX,BB
1.51938E+18,80s kids know that true sadness is when you lose your NES game password saves.,2022-04-27 18:00:02+00:00,,10,,,,en,44,Twitter Web App,BB
1.51937E+18,@everliz41 It sounds like it's time for a vacation.,2022-04-27 17:53:32+00:00,,0,,,,en,0,Khoros CX,BB
1.51937E+18,@thomasdelgado Of course! 🏎️💨,2022-04-27 17:47:27+00:00,,0,,,,en,0,Khoros CX,BB
1.51937E+18,@drjack_84 That comedy duo deserves it.,2022-04-27 17:44:28+00:00,,0,,,,en,0,Khoros CX,BB
1.51937E+18,@druthedoctor A natural choice.,2022-04-27 17:34:52+00:00,,0,,,,en,0,Khoros CX,BB
1.51936E+18,@GS3 Summer is coming...,2022-04-27 16:53:00+00:00,,0,,,,en,0,Khoros CX,BB
1.51936E+18,@itsbasiltime We hear that.,2022-04-27 16:52:27+00:00,,0,,,,en,0,Khoros CX,BB
1.51934E+18,"@Ten0fDiamonds It happens to the best of us, especially when our fury friends are involved! 🐈🐾",2022-04-27 15:52:06+00:00,,0,,,,en,1,Khoros CX,BB
1.51933E+18,Working remotely is like if every day was bring-your-child-to-work day.,2022-04-27 15:00:03+00:00,,5,,,,en,40,Twitter Web App,BB
1.51933E+18,@CyberLifeStorm That's quite the list. Which of those do you most want to see in 4K?,2022-04-27 14:50:05+00:00,,0,,,,en,0,Khoros CX,BB
1.51933E+18,@JMenitta Great choice! Here are some additional TVs within your desired budget doing 120Hz for all your gaming needs:  https://t.co/7qeBg80Vr4.,2022-04-27 14:47:39+00:00,,0,,,,en,0,Khoros CX,BB
1.51933E+18,@Wallnut1976 Need a 4K copy of the sequels to go along with the 40th-anniversary release. https://t.co/svC8DdnDmH,2022-04-27 14:43:16+00:00,,0,,,,en,0,Khoros CX,BB
1.51933E+18,@Pat_Cusick That movie was a staple of 80s afternoon cable.,2022-04-27 14:39:57+00:00,,0,,,,en,1,Khoros CX,BB
1.51933E+18,@DelRealCalleros A scary good choice. 🧟‍♀️,2022-04-27 14:38:31+00:00,,0,,,,en,0,Khoros CX,BB
1.51932E+18,"@foodnutlove Have you seen the 35th Anniversary set? Comes with the trilogy with SteelBook covers in 4K UHD, Blu-ray and digital versions all included. https://t.co/zOENz4ferW",2022-04-27 14:34:34+00:00,,0,,,,en,0,Khoros CX,BB
1.51932E+18,@izzyortiz81 Imagine a 4K crossover between the two.,2022-04-27 14:31:46+00:00,,0,,,,en,0,Khoros CX,BB
1.51932E+18,@ramont_booker Good news! https://t.co/i8lrlWDnza,2022-04-27 14:29:18+00:00,,0,,,,en,1,Khoros CX,BB
1.51932E+18,@Takumis06601188 We hope this movie speeds its way to a 4K treatment soon.,2022-04-27 14:10:43+00:00,,0,,,,en,1,Khoros CX,BB
1.51932E+18,@eastcoastmomma1 Getting an issue resolved with your important tech is a priority for us. Thanks for letting our Geek Squad Agents help you reunite your son with their favorite gadget.,2022-04-27 14:09:42+00:00,,0,,,,en,0,Khoros CX,BB
1.51932E+18,@Born_2B_Naughty We get chills just thinking about it.,2022-04-27 14:09:25+00:00,,0,,,,en,1,Khoros CX,BB
1.51932E+18,"@VGArtAndTidbits Ah, the memories.",2022-04-27 14:08:43+00:00,,1,,,,en,7,Khoros CX,BB
1.51932E+18,@TomSFenwick Wonder if Speed annoys local drivers by using the Mach 5's air jack jump feature to sneak through morning traffic jams.,2022-04-27 14:01:40+00:00,,0,,,,en,1,Khoros CX,BB
1.51932E+18,@Max23553651 We would watch that again and again and again.,2022-04-27 14:00:17+00:00,,0,,,,en,0,Khoros CX,BB
1.51931E+18,@lightning46 We're on-board with that.,2022-04-27 13:46:54+00:00,,0,,,,en,0,Khoros CX,BB
1.51931E+18,@yarsftks That's a great start.,2022-04-27 13:44:08+00:00,,0,,,,en,0,Khoros CX,BB
1.51907E+18,"@SpeedRacer4K We're trying to keep up, but Speed always seems to leave us in his dust. 🏎️💨🐒🧒🏁",2022-04-26 22:00:31+00:00,,0,,,,en,1,Khoros CX,BB
1.51907E+18,"@bufffalostark1 Ah, jeez. You're right.",2022-04-26 21:47:14+00:00,,0,,,,en,0,Khoros CX,BB
1.51907E+18,@xaminm We definitely need that.,2022-04-26 21:44:58+00:00,,0,,,,en,0,Khoros CX,BB
1.51907E+18,@dub_projay You're in luck. It exists: https://t.co/y5E807KVIR.,2022-04-26 21:41:55+00:00,,0,,,,en,0,Khoros CX,BB
1.51907E+18,@kev1006 🤓,2022-04-26 21:36:29+00:00,,0,,,,und,0,Khoros CX,BB
1.51907E+18,@Eleven7eventeen We believe you can overcome the challenge of regular price and come out of this a better person.,2022-04-26 21:25:21+00:00,,0,,,,en,0,Khoros CX,BB
1.51906E+18,@Eleven7eventeen We believe in you.,2022-04-26 21:09:38+00:00,,0,,,,en,0,Khoros CX,BB
1.51906E+18,@Volfogg3G Take a look at the other responses. There's more of you than you think. 🏎️💨,2022-04-26 21:08:25+00:00,,0,,,,en,1,Khoros CX,BB
1.51906E+18,"@KALELIII Needs 4K for the visuals, HDR for the colors, and the best sound system available for the soundtrack.",2022-04-26 21:07:33+00:00,,0,,,,en,0,Khoros CX,BB
1.51906E+18,"@Webber__07 4K Mach 5? Yes, please. 🏎️💨",2022-04-26 21:06:28+00:00,,1,,,,en,4,Khoros CX,BB
1.51906E+18,"@pmarsh92 Racer X probably hid it, along with the fact that he is really Speed's long-lost brother, Rex Racer.",2022-04-26 21:04:38+00:00,,0,,,,en,1,Khoros CX,BB
1.51906E+18,@balloonpup Definitely.,2022-04-26 21:01:42+00:00,,0,,,,en,2,Khoros CX,BB
1.51906E+18,"@Mach5Museum Admit it, you just want Ultra HD Chim Chim.",2022-04-26 21:00:58+00:00,,0,,,,en,10,Khoros CX,BB
1.51906E+18,@Z00STATI0N Not sure even 4K can contain that movie.,2022-04-26 20:59:25+00:00,,0,,,,en,2,Khoros CX,BB
1.51906E+18,@jedidarrick Han shot first.,2022-04-26 20:57:18+00:00,,0,,,,en,1,Khoros CX,BB
1.51906E+18,@CaramelJenkins Seriously.,2022-04-26 20:56:56+00:00,,0,,,,en,0,Khoros CX,BB
1.51936E+18,Tune in to a brand new episode of #TheKardashians  TONIGHT at 9PM PT /  12AM ET on @hulu 💕 Episode releases internationally on @disneyplus and @starplusla at midnight @kardashianshulu https://t.co/iid6U1EG7k,2022-04-27 17:03:49+00:00,TheKardashians,126,photo,video,,en,1391,Twitter for iPhone,KK
1.51935E+18,"RT @skims: JUST DROPPED: NEW SOFT LOUNGE.
The internet’s favorite loungewear is back and better than ever! Shop all new styles, new colors,…",2022-04-27 16:05:43+00:00,,34,,,,en,0,Twitter for iPhone,KK
1.51911E+18,You are just so nice today mom! I didn’t even know you had twitter but what a nice surprise to see how you feel about me https://t.co/M1ReCZSBiY,2022-04-27 00:08:05+00:00,,2619,,,,en,73339,Twitter for iPhone,KK
1.51911E+18,Oh mom stop! I’m blushing 😊 😉 https://t.co/mgeq3ggmDq,2022-04-27 00:07:23+00:00,,992,,,,en,26631,Twitter for iPhone,KK
1.51907E+18,Also I felt so honored to wear a special dress to the special night! Manfred Mugler made this dress for me last year before he passed away and I just felt the magic in him when I wore it! 🕊 https://t.co/KHnVBYnDSO,2022-04-26 21:40:04+00:00,,633,photo,"photo, photo",,en,15470,Twitter for iPhone,KK
1.51907E+18,"THE KARDASHIANS PREMIERE! 

We premiered two weeks ago and I’m blown away that we had the highest premiere in HULU History! Beyond grateful when we heard that news!! https://t.co/FT5CVFojNl",2022-04-26 21:37:39+00:00,,906,photo,"photo, photo, photo",,en,23189,Twitter for iPhone,KK
1.51893E+18,Thank you @potus for recognizing that there are many deserving people inside who deserve a second chance! https://t.co/iCh1LwXQPV,2022-04-26 12:39:59+00:00,,122,,,,en,1558,Twitter for iPhone,KK
1.51875E+18,Best news ever! 🙏🏼 Melissa Lucio has been on death row for over 14 years for her daughter’s death that was a tragic accident. She is getting a hearing on her claims for her case &amp; has been granted a stay of execution by the Texas Court of Criminal Appeals. https://t.co/NuCv4vOgJl,2022-04-26 00:17:39+00:00,,210,,,,en,2772,Twitter for iPhone,KK
